"MAIN_SELECT_LANGUAGE";"Выберите язык, чтобы начать бронирование";"Select a language to start booking";"选择一种语言，开始预订"
"DATE_PICKER_ARRIVAL_DATE";"Дата заезда";"Check-in date";"报到日期"
"DATE_PICKER_ARRIVAL_TIME";"Время заезда";"Check-in time";"报到时间"
"DATE_PICKER_RENT_HOURS";"Кол-во часов";"Number of hours";"小时数"
"DATE_PICKER_CHOOSE_DATE";"Выберите дату";"Select a date";"选择一个日期"
"DATE_PICKER_CHOOSE";"Выбрать";"Select";"选择"
"DATE_PICKER_CHOOSE_TIME";"Выберите время";"Choose a time";"选择一个时间"
"DATE_PICKER_CHOOSE_APPLY";"Применить";"Apply";"申请"
"DATE_PICKER_CHOOSE_RESET";"Сбросить";"Reset";"复位"
"DATE_PICKER_SEARCH";"Поиск";"Search";"搜索"
"FOOTER_YOUR_BOOKING";"Ваше бронирование";"Your reservation";"您的预订"
"FOOTER_PLACE_ORDER";"Оформить заказ";"Place an order";"下订单"
"ADD_TO_BASKET";"В корзину";"To cart";"至购物车"
"BOOKING_TITLE";"Оформление бронирования";"Making reservations";"进行预约"
"PERSONAL_INFO_BLOCK_HEADING";"Персональная информация";"Personal information";"个人资料"
"PERSONAL_INFO_BLOCK_LABEL";"Укажите фамилию, имя и контактные данные человека, оплачивающего заказ";"Enter the name and contact information of the person paying for the order";"输入支付订单的人的姓名和联系信息"
"PERSONAL_INFO_NAME_LABEL";"Имя";"Name";"命名"
"PERSONAL_INFO_SURNAME_LABEL";"Фамилия";"Surname";"姓氏"
"PERSONAL_INFO_BIRTHDATE_LABEL";"Дата рождения";"Date of birth";"出生日期"
"PERSONAL_INFO_PHONE_LABEL";"Телефон";"Phone";"电话"
"PERSONAL_INFO_EMAIL_LABEL";"Email";"Email";"电子邮件"
"PERSONAL_INFO_FZ_TEXT";"Предоставляя свои персональные данные, я даю согласие на обработку, хранение и использование своих персональных данных на основании ";"By providing my personal data, I consent to the processing, storage and use of my personal data on the basis of ";"通过提供我的个人数据，我同意在以下基础上处理、储存和使用我的个人数据 "
"PERSONAL_INFO_FZ_LINK_TEXT";"ФЗ № 152-ФЗ «О персональных данных» от 27.07.2006 г.";"Federal Law No. 152-FZ ""On Personal Data"" of 27.07.2006.";"2006年7月27日第152-FZ号 ""关于个人数据 ""的联邦法律。"
"PERSONAL_INFO_FZ_LINK_ADDRESS";"https://google.com";"????";
"BOOKING_PAYMENT_BLOCK_TITLE";"Оплата бронирования";"Payment for booking";"预订付款"
"BACK_TO_SEARCH";"Вернуться к выбору";"Back to Selection";"返回到选择"
"PLACE_BOOKING";"Забронировать";"Book";"书籍"
"PLACE_ORDER";"Оформить заказ";"Place an order";"下订单"
"BASKET";"Корзина";"Basket";"篮子"
"BASKET_TOTAL";"Итоговая сумма";"Total amount";"总金额"
"PAYMENT_TITLE";"Оплата бронирования";"Payment for booking";"预订付款"
"PAYMENT_COUNT";"Всего капсул";"Total capsules";"总胶囊数"
"PAYMENT_DATE";"Дата";"Date";"日期"
"PAYMENT_TIME";"Время";"Time";"时间"
"PAYMENT_SUM";"Сумма к оплате";"Amount due";"应付金额"
"PAYMENT_TIP";"Для оплаты бронирования поднесите карточку к терминалу рядом с экраном";"To pay for the reservation, put your card to the terminal next to the screen";"要支付预订费用，请将您的卡放在屏幕旁边的终端上。"
"PAYMENT_SUCCESS";"Спасибо, ваше бронирование успешно оплачено";"Thank you, your reservation has been successfully paid";"谢谢你，你的预订已经成功支付"
"PAYMENT_PRINT_TIP";"Вы можете распечатать детали заказа и QR-коды доступа на принтере под терминалом";"You can print order details and QR access codes on the printer under the terminal";"您可以在终端下的打印机上打印订单详情和QR访问代码"
"PAYMENT_PRINT_BUTTON";"Распечатать";"Print";"印刷品"
"PAYMENT_EMAIL_TIP";"Электронный ключ отправлен вам на почту";"The electronic key was sent to your email";"电子钥匙已发送至您的邮箱"
